itr,wall,itr_time,loss,bpd,fe,total_time,grad_norm,kinetic_energy,jacobian_norm2
127,1749.4597,13.6286,3.7720,3.7537,800.0,18.0000,0.9495,1.7771,0.0503
128,1763.2279,13.7682,3.7524,3.7337,800.0,18.0000,1.0977,1.8129,0.0582
129,1776.8884,13.6605,3.7309,3.7117,800.0,18.0000,1.3012,1.8608,0.0672
130,1790.4333,13.5449,3.7072,3.6871,800.0,18.0000,1.5031,1.9322,0.0786
131,1804.1249,13.6916,3.6830,3.6619,800.0,18.0000,1.9084,2.0211,0.0906
132,1817.8380,13.7130,3.6531,3.6306,800.0,18.0000,3.0646,2.1399,0.1077
133,1831.5989,13.7609,3.6204,3.5966,800.0,18.0000,4.8373,2.2552,0.1277
134,1845.1374,13.5385,3.5933,3.5678,800.0,18.0000,11.9168,2.4077,0.1503
135,1858.8761,13.7387,3.5903,3.5642,800.0,18.0000,29.1297,2.4350,0.1762
136,1872.2996,13.4235,3.5577,3.5291,800.0,18.0000,32.4306,2.6464,0.2074
137,1885.9650,13.6654,3.4755,3.4491,800.0,18.0000,5.0119,2.4022,0.2384
138,1899.4615,13.4965,3.4696,3.4435,800.0,18.0000,29.4154,2.3316,0.2757
139,1913.1208,13.6593,3.3907,3.3632,800.0,18.0000,13.5078,2.4147,0.3298
140,1926.9619,13.8411,3.3602,3.3301,800.0,18.0000,23.5145,2.6233,0.3837
141,1940.5062,13.5443,3.3007,3.2677,800.0,18.0000,24.0690,2.8465,0.4548
142,1954.0168,13.5106,3.2402,3.2014,800.0,18.0000,12.7196,3.3508,0.5310
143,1967.7536,13.7367,3.2030,3.1544,800.0,18.0000,33.7665,4.2195,0.6385
144,1981.5261,13.7725,3.1162,3.0601,800.0,18.0000,15.7089,4.8543,0.7550
145,1995.1761,13.6500,3.0525,2.9829,800.0,18.0000,21.4769,6.0668,0.9009
146,2008.9677,13.7917,3.0212,2.9297,800.0,18.0000,43.6440,8.0801,1.0627
147,2022.6641,13.6964,2.9527,2.8417,800.0,18.0000,38.3880,9.8621,1.2387
148,2036.4156,13.7515,2.8766,2.7435,800.0,18.0000,12.4041,11.9012,1.4071
149,2049.9086,13.4930,2.8361,2.6810,800.0,18.0000,25.7753,13.9327,1.5725
150,2063.5731,13.6645,2.7977,2.6283,800.0,18.0000,38.7916,15.2171,1.7183
151,2077.3160,13.7429,2.7103,2.5405,800.0,18.0000,16.6474,15.1376,1.8423
152,2091.0334,13.7174,2.6772,2.5120,800.0,18.0000,20.3521,14.6078,1.9188
153,2104.5719,13.5384,2.6303,2.4711,800.0,18.0000,20.7606,13.8974,2.0154
154,2118.1970,13.6251,2.5669,2.4091,800.0,18.0000,11.2606,13.6397,2.1400
155,2131.7010,13.5040,2.5144,2.3472,800.0,18.0000,18.5426,14.4196,2.2929
156,2145.1689,13.4680,2.4812,2.2929,800.0,18.0000,7.4197,16.3978,2.4311
157,2158.8763,13.7074,2.4688,2.2434,800.0,18.0000,18.8088,19.9495,2.5944
158,2172.3363,13.4600,2.4551,2.1987,800.0,18.0000,5.8030,22.9204,2.7122
159,2185.7967,13.4604,2.4583,2.1940,800.0,18.0000,18.0751,23.6744,2.7494
160,2199.1759,13.3793,2.4146,2.1672,800.0,18.0000,5.3806,21.9685,2.7740
161,2212.6759,13.5000,2.4004,2.1795,800.0,18.0000,12.5880,19.3602,2.7279
162,2226.1494,13.4735,2.3733,2.1750,800.0,18.0000,4.8280,17.1226,2.7058
163,2239.4817,13.3323,2.3629,2.1726,800.0,18.0000,8.9088,16.3134,2.7109
164,2253.0128,13.5311,2.3512,2.1549,800.0,18.0000,4.3877,16.8714,2.7583
165,2266.6279,13.6151,2.3421,2.1241,800.0,18.0000,9.5326,18.9455,2.8530
166,2280.3345,13.7066,2.3157,2.0819,800.0,18.0000,4.1047,20.4092,2.9722
167,2294.0369,13.7025,2.3022,2.0621,800.0,18.0000,11.5146,20.9757,3.0312
168,2307.4843,13.4474,2.2720,2.0324,800.0,18.0000,4.7851,20.8531,3.1031
169,2320.9916,13.5073,2.2712,2.0415,800.0,18.0000,7.4078,19.8822,3.0924
170,2334.5583,13.5668,2.2485,2.0380,800.0,18.0000,6.5529,17.9725,3.0743
171,2348.0707,13.5124,2.2406,2.0352,800.0,18.0000,5.3867,17.4483,3.0933
172,2361.5962,13.5255,2.2353,2.0161,800.0,18.0000,8.2148,18.7496,3.1689
173,2374.9883,13.3921,2.2049,1.9758,800.0,18.0000,4.0793,19.6359,3.2719
174,2388.6319,13.6436,2.2019,1.9607,800.0,18.0000,8.4122,20.7858,3.3285
175,2402.2138,13.5819,2.2012,1.9509,800.0,18.0000,6.4718,21.6681,3.3592
176,2415.6325,13.4187,2.1970,1.9588,800.0,18.0000,3.8081,20.4649,3.3506
177,2429.1718,13.5393,2.1934,1.9753,800.0,18.0000,4.3227,18.5141,3.2926
178,2442.7854,13.6136,2.1794,1.9680,800.0,18.0000,5.5984,17.8272,3.3061
179,2456.2269,13.4415,2.1680,1.9552,800.0,18.0000,3.4274,17.9185,3.3548
180,2469.8359,13.6090,2.1478,1.9241,800.0,18.0000,4.6894,18.9285,3.4422
181,2483.3235,13.4876,2.1431,1.9057,800.0,18.0000,5.8195,20.2110,3.5311
182,2496.6204,13.2969,2.1447,1.9074,800.0,18.0000,5.4943,20.1824,3.5456
183,2510.1005,13.4801,2.1197,1.8862,800.0,18.0000,5.9259,19.7535,3.6013
184,2523.4976,13.3971,2.1133,1.8915,800.0,18.0000,6.3903,18.5998,3.5758
185,2537.0278,13.5302,2.1097,1.8907,800.0,18.0000,6.5458,18.3039,3.5941
186,2550.6292,13.6014,2.1006,1.8675,800.0,18.0000,6.3443,19.6054,3.6984
187,2564.3036,13.6744,2.1018,1.8562,800.0,18.0000,5.9025,20.8020,3.7650
188,2577.8635,13.5600,2.0790,1.8251,800.0,18.0000,9.7166,21.5312,3.8556
189,2591.2459,13.3824,2.0916,1.8372,800.0,18.0000,13.7857,21.5823,3.8528
190,2604.8207,13.5747,2.0820,1.8508,800.0,18.0000,16.7740,19.2852,3.8362
191,2618.5161,13.6955,2.0717,1.8435,800.0,18.0000,13.2441,18.9641,3.8592
